City,Date,Temperature,Humidity,Weather
Nagpur,2026-06-03 15:00:00,37.02,29,Clouds
Nagpur,2026-06-03 18:00:00,35.72,32,Clouds
Nagpur,2026-06-03 21:00:00,33.78,38,Clear
Nagpur,2026-06-04 00:00:00,32.45,41,Clouds
Nagpur,2026-06-04 03:00:00,35.71,33,Clouds
Nagpur,2026-06-04 06:00:00,39.99,24,Clouds
Nagpur,2026-06-04 09:00:00,40.92,22,Clouds
Nagpur,2026-06-04 12:00:00,38.49,27,Rain
Nagpur,2026-06-04 15:00:00,35.63,34,Rain
Nagpur,2026-06-04 18:00:00,35.19,33,Clouds
Nagpur,2026-06-04 21:00:00,33.14,39,Clouds
Nagpur,2026-06-05 00:00:00,31.89,44,Clouds
Nagpur,2026-06-05 03:00:00,35.22,37,Clear
Nagpur,2026-06-05 06:00:00,39.91,25,Clear
Nagpur,2026-06-05 09:00:00,40.72,23,Clouds
Nagpur,2026-06-05 12:00:00,39.61,25,Rain
Nagpur,2026-06-05 15:00:00,36.86,32,Rain
